ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2017,"2017",1,"Full-time","412031","Retail salespersons",50004.664321735814,4118.053346553123,70791,6500.633365916363,608,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","412031","Retail salespersons",41425.70337832441,4428.498736475137,50084,5475.640333927775,383,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","311010","Nursing, psychiatric, & home health aides",29463.65034623433,1029.1194413018868,151487,9456.404212413212,1175,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",97162.74996996275,7999.863650284613,91553,7382.114188743099,902,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",69458.3395331446,1994.3106881109002,187210,10486.224654785772,2005,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",48327.44692505602,6250.647779513368,12049,2692.730513262869,123,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","311010","Nursing, psychiatric, & home health aides",40546.49248252627,11808.77432433169,19887,3457.5561195005625,162,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",126639.50451554087,8437.161695611398,140404,9110.940453248908,1424,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",74582.99323923615,3032.9162981577656,59017,5940.2846687404535,593,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",46580.88840433926,1523.3577839162574,166019,9889.5617165111,1776,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","436010","Secretaries & administrative assistants",54493.69552339849,8331.824494715662,11817,2666.6747471951976,106,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","311010","Nursing, psychiatric, & home health aides",32867.259040590405,3011.586112001515,18970,3377.0143581151906,166,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",119749.64250404525,7538.900755834475,134726,8926.468376829333,1346,"New York","04000US36"
